순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
22,잠,2023-09-06,"13,894,258,933",1.1%,"1,470,359","1,231","103,697",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
23,달짝지근해: 7510,2023-08-15,"13,445,519,901",1.1%,"1,388,309","1,032","86,601",한국,한국,(주)마인드마크
24,드림,2023-04-26,"10,821,044,597",0.9%,"1,128,375","1,285","61,736",한국,한국,플러스엠 엔터테인먼트
25,비공식작전,2023-08-02,"10,192,841,216",0.8%,"1,058,745","1,151","45,082",한국,한국,(주)쇼박스
26,1947 보스톤,2023-09-27,"9,464,164,798",0.8%,"1,026,882","1,282","63,548",한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트"
27,스파이더맨: 어크로스 더 유니버스,2023-06-21,"9,492,413,667",0.8%,"920,169","1,103","47,139",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
28,인디아나 존스: 운명의 다이얼,2023-06-28,"8,504,251,466",0.7%,"860,470","1,268","46,174",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
29,장화신은 고양이: 끝내주는 모험,2023-01-04,"7,872,245,363",0.6%,"831,209",924,"43,468",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
30,명탐정코난: 흑철의 어영,2023-07-20,"7,705,318,105",0.6%,"801,511","1,030","34,473",일본,일본,(주)씨제이이엔엠
31,트랜스포머: 비스트의 서막,2023-06-06,"7,786,907,316",0.6%,"769,993","1,123","45,195",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
32,대외비,2023-03-01,"7,469,378,721",0.6%,"756,355","1,157","53,616",한국,한국,플러스엠 엔터테인먼트
33,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,"7,262,598,609",0.6%,"732,188",844,"28,899",일본,일본,(주)씨제이이엔엠
34,아쿠아맨과 로스트 킹덤,2023-12-20,"7,459,506,772",0.6%,"722,973",965,"25,387",미국,미국,워너브러더스 코리아(주)
35,프레디의 피자가게,2023-11-15,"6,959,703,516",0.6%,"712,241","1,041","35,024",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
36,리바운드,2023-04-05,"6,702,452,348",0.5%,"699,243","1,154","56,697",한국,한국,(주)바른손이앤에이
37,더 마블스,2023-11-08,"6,841,156,465",0.5%,"690,814","1,532","66,818",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
38,귀공자,2023-06-21,"6,704,211,465",0.5%,"682,856",966,"44,887",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
39,유령,2023-01-18,"6,760,765,879",0.5%,"664,146","1,099","46,961",한국,한국,(주)씨제이이엔엠
40,인어공주,2023-05-24,"6,668,613,190",0.5%,"647,706","1,364","37,592",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
41,플래시,2023-06-14,"6,735,756,989",0.5%,"635,269","1,258","43,343",미국,미국,워너브러더스 코리아(주)
42,바비,2023-07-19,"5,752,206,126",0.5%,"585,502",780,"27,520",미국,미국,워너브러더스 코리아(주)
43,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,"5,506,229,689",0.4%,"568,257",883,"15,379",일본,일본,(주)씨제이이엔엠
44,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,"6,586,552,900",0.5%,"535,969",410,"20,955",일본,일본,(주)디스테이션
45,더 문,2023-08-02,"5,207,712,778",0.4%,"516,556","1,187","30,181",한국,한국,(주)씨제이이엔엠
46,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"5,198,084,474",0.4%,"514,915",402,"27,669",일본,일본,"(주)바이포엠스튜디오,홀리가든"
47,3일의 휴가,2023-12-06,"4,835,058,689",0.4%,"514,539",863,"31,547",한국,한국,(주)쇼박스
48,소년들,2023-11-01,"4,470,423,586",0.4%,"471,425","1,042","43,356",한국,한국,(주)씨제이이엔엠
49,타이타닉,1998-02-20,"6,528,961,730",0.5%,"454,336",447,"14,296",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,씨네힐,이십세기폭스코리아(주)"
50,타겟,2023-08-30,"4,003,424,694",0.3%,"424,916",986,"43,332",한국,한국,플러스엠 엔터테인먼트
51,서치 2,2023-02-22,"4,084,323,024",0.3%,"414,598",868,"36,910",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
52,인시디어스: 빨간 문,2023-07-19,"4,096,944,506",0.3%,"401,656",758,"18,759",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
53,싱글 인 서울,2023-11-29,"3,738,633,028",0.3%,"399,575",917,"32,523",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
54,스위치,2023-01-04,"3,794,475,810",0.3%,"399,269",912,"36,963",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
55,카운트,2023-02-22,"3,783,714,091",0.3%,"398,442",946,"37,254",한국,한국,(주)씨제이이엔엠
56,괴물,2023-11-29,"3,791,952,275",0.3%,"387,427",647,"21,138",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
57,여름날 우리,2021-08-25,"3,622,009,095",0.3%,"372,645",244,"13,716",중국,중국,"(주)바이포엠스튜디오,찬란,메가박스중앙(주)"
58,상견니,2023-01-25,"3,612,460,638",0.3%,"361,213",699,"31,233",대만,대만,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)"
59,더 넌 2,2023-09-27,"3,754,295,273",0.3%,"360,743",720,"20,965",미국,미국,워너브러더스 코리아(주)
60,트롤: 밴드 투게더,2023-12-20,"3,109,591,201",0.2%,"336,931",845,"10,585",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
61,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,"2,933,191,296",0.2%,"321,184",850,"13,576",한국,한국,씨제이 씨지브이(CJ CGV)(주)
62,웅남이,2023-03-22,"2,868,959,071",0.2%,"314,241",829,"36,060",한국,한국,씨제이 씨지브이(CJ CGV)(주)
63,거미집,2023-09-27,"3,003,379,576",0.2%,"313,686","1,058","27,130",한국,한국,(주)바른손이앤에이
64,던전 앤 드래곤: 도적들의 명예,2023-03-29,"2,935,281,137",0.2%,"293,760","1,105","34,065",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
65,용감한 시민,2023-10-25,"2,445,021,472",0.2%,"266,816",887,"30,438",한국,한국,(주)마인드마크
66,화란,2023-10-11,"2,515,803,090",0.2%,"264,050",976,"35,554",한국,한국,플러스엠 엔터테인먼트
67,크리에이터,2023-10-03,"2,775,280,272",0.2%,"262,823",878,"25,149",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
68,옥수역귀신,2023-04-19,"2,744,049,700",0.2%,"256,520",314,"13,683",한국,"한국,일본",(주)스마일이엔티
69,아임 히어로 더 파이널,2023-03-01,"6,059,713,000",0.5%,"250,702",146,"8,897",한국,한국,"씨제이포디플렉스 주식회사,CGV ICECON"
70,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,"2,237,957,275",0.2%,"242,111",587,"10,331",일본,일본,"(주)넥스트엔터테인먼트월드(NEW),실버스푼"
71,소울메이트,2023-03-15,"2,268,064,069",0.2%,"234,775",749,"28,260",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
72,메간,2023-01-25,"2,331,686,898",0.2%,"230,874",704,"21,067",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
73,나폴레옹,2023-12-06,"2,241,987,950",0.2%,"225,374",822,"17,910",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
74,바빌론,2023-02-01,"2,150,176,805",0.2%,"213,635",852,"21,533",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
75,베니스 유령 살인사건,2023-09-13,"2,004,013,347",0.2%,"205,102",876,"27,978",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
76,멍뭉이,2023-03-01,"1,832,643,386",0.1%,"196,529",649,"15,443",한국,한국,(주)키다리스튜디오
77,킬링 로맨스,2023-04-14,"1,833,415,642",0.1%,"191,650",998,"26,101",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
78,톡 투 미,2023-11-01,"1,759,944,371",0.1%,"186,426",604,"17,737",호주,"호주,영국","주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마"
79,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,"1,810,802,776",0.1%,"185,428",986,"19,749",미국,미국,(주)누리픽쳐스
80,퍼피 구조대: 더 마이티 무비,2023-10-06,"1,565,577,076",0.1%,"172,444",566,"9,673",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
81,가문의 영광: 리턴즈,2023-09-21,"1,608,459,160",0.1%,"167,878",823,"20,003",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
82,플라워 킬링 문,2023-10-19,"1,573,261,909",0.1%,"166,226",719,"14,422",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
83,마루이 비디오,2023-02-22,"1,705,521,500",0.1%,"165,892",284,"8,962",한국,한국,"씨제이 씨지브이(CJ CGV)(주),(주)케이티알파"
84,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,2023-09-28,"1,278,771,994",0.1%,"141,025",601,"8,252",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
85,남은 인생 10년,2023-05-24,"1,468,918,600",0.1%,"137,632",203,"5,822",일본,일본,(주)디스테이션
86,극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,"1,192,070,958",0.1%,"135,976",407,"6,202",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
87,보호자,2023-08-15,"1,238,570,700",0.1%,"128,485",685,"10,995",한국,한국,(주)에이스메이커무비웍스
88,두다다쿵: 후후섬의 비밀,2023-02-15,"1,136,395,650",0.1%,"125,978",514,"8,549",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
89,메가로돈 2,2023-08-15,"1,314,843,169",0.1%,"125,935",415,"7,812",미국,미국,워너브러더스 코리아(주)
90,블루 자이언트,2023-10-18,"1,156,359,958",0.1%,"119,711",574,"13,129",일본,일본,판씨네마(주)
91,그란 투리스모,2023-09-20,"1,193,485,239",0.1%,"119,510",883,"17,724",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
92,몬스터 패밀리 2,2023-08-02,"996,557,533",0.1%,"119,462",434,"6,744",영국,영국,메가박스중앙(주)
93,다음 소희,2023-02-08,"1,130,174,168",0.1%,"118,899",562,"11,006",한국,한국,트윈플러스파트너스(주)
94,문재인입니다,2023-05-10,"1,133,663,035",0.1%,"116,959",602,"10,332",한국,한국,유한회사 엠프로젝트
95,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,"1,141,195,984",0.1%,"111,526",234,"8,675",미국,미국,워터홀컴퍼니(주)
96,캐리와 슈퍼콜라,2023-01-18,"1,024,270,819",0.1%,"111,071",474,"6,707",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
97,에어,2023-04-05,"1,063,344,581",0.1%,"110,310",656,"16,487",미국,미국,워너브러더스 코리아(주)
98,어메이징 모리스,2023-02-15,"963,997,160",0.1%,"109,302",559,"7,735",독일,독일,(주)블루라벨픽쳐스
99,올빼미,2022-11-23,"1,091,858,574",0.1%,"106,867",448,"7,007",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
100,아기공룡 둘리-얼음별 대모험,1996-07-24,"985,562,637",0.1%,"103,707",473,"5,235",한국,한국,워터홀컴퍼니(주)
101,뉴 노멀,2023-11-08,"987,958,873",0.1%,"103,037",546,"10,934",한국,한국,(주)바이포엠스튜디오
102,극장판 도라에몽: 진구와 하늘의 유토피아,2023-07-08,"885,287,800",0.1%,"97,700",283,"5,335",일본,일본,씨제이 씨지브이(CJ CGV)(주)
103,스노우 폭스: 썰매개가 될 거야!,2023-11-23,"776,965,216",0.1%,"97,651",479,"4,245",미국,미국,(주)팝엔터테인먼트
104,화사한 그녀,2023-10-11,"888,872,900",0.1%,"96,146",414,"12,805",한국,한국,"(주)제이앤씨미디어그룹,(주)스튜디오 산타클로스엔터테인먼트"
105,너의 이름은.,2017-01-04,"844,230,949",0.1%,"92,891",101,"3,777",일본,일본,플러스엠 엔터테인먼트
106,방탄소년단: 옛 투 컴 인 시네마,2023-02-01,"2,035,659,000",0.2%,"92,539",120,"6,188",한국,한국,"씨제이포디플렉스 주식회사,씨제이 씨지브이(CJ CGV)(주)"
107,"여름을 향한 터널, 이별의 출구",2023-09-14,"941,648,363",0.1%,"92,340",269,"7,752",일본,일본,(주)미디어캐슬
108,아이유 콘서트 : 더 골든 아워,2023-09-13,"2,050,388,000",0.2%,"87,628",63,"2,915",한국,한국,씨제이 씨지브이(CJ CGV)(주)
109,말하고 싶은 비밀,2023-12-13,"830,354,541",0.1%,"85,832",401,"5,277",일본,일본,"(주)바이포엠스튜디오,홀리가든"
110,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,2023-08-10,"732,400,650",0.1%,"84,121",245,"5,672",영국,영국,와이드 릴리즈(주)
111,사나: 저주의 아이,2023-10-04,"786,544,500",0.1%,"83,945",199,"6,768",일본,일본,(주)바이포엠스튜디오
112,악마들,2023-07-05,"814,798,273",0.1%,"81,521",613,"10,220",한국,한국,TCO(주)더콘텐츠온
113,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,"849,594,700",0.1%,"81,475",176,"4,611",일본,일본,(주)씨제이이엔엠
114,파벨만스,2023-03-22,"819,973,157",0.1%,"81,467",450,"8,892",미국,미국,(주)씨제이이엔엠
115,엑소시스트: 믿는 자,2023-10-18,"828,698,635",0.1%,"80,219",630,"10,753",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
116,아르고 원정대: 꼬마 영웅 패티의 대모험,2023-09-21,"722,924,236",0.1%,"79,721",516,"4,813",프랑스,프랑스,(주)스튜디오디에이치엘
117,샤잠! 신들의 분노,2023-03-15,"830,461,274",0.1%,"78,743",799,"14,012",미국,미국,워너브러더스 코리아(주)
118,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,"712,409,245",0.1%,"75,605",491,"4,359",한국,한국,(주)씨제이이엔엠
119,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,"657,700,000",0.1%,"73,289",234,"4,741",벨기에,"벨기에,프랑스",(주)스튜디오디에이치엘
120,젠틀맨,2022-12-28,"696,066,848",0.1%,"72,160",715,"6,779",한국,한국,플러스엠 엔터테인먼트
121,닌자터틀: 뮤턴트 대소동,2023-09-14,"638,211,569",0.1%,"71,001",650,"7,911",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
122,보 이즈 어프레이드,2023-07-05,"685,318,130",0.1%,"68,762",312,"4,589",미국,미국,(주)스튜디오디에이치엘
123,쏘우 X,2023-12-13,"661,767,453",0.1%,"63,477",571,"7,041",미국,미국,"(주)올스타엔터테인먼트,(주)플레이그램"
124,익스펜더블 4,2023-10-18,"606,052,589",0.0%,"63,379",634,"10,979",미국,미국,"(주)올스타엔터테인먼트,(주)플레이그램"
125,신체모음.zip,2023-08-30,"576,492,200",0.0%,"62,287",269,"7,490",한국,한국,"(주)스튜디오디에이치엘,(주)싸이더스"
126,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,"525,427,100",0.0%,"61,016",128,"2,908",한국,한국,더핑크퐁컴퍼니(주)
127,수라,2023-06-21,"511,814,124",0.0%,"60,371",136,"2,339",한국,한국,"스튜디오두마,미디어나무(주),스튜디오 에이드"
128,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,"492,263,400",0.0%,"59,394",298,"3,225",독일,독일,TCO(주)더콘텐츠온
129,슬픔의 삼각형,2023-05-17,"568,754,921",0.0%,"58,412",294,"5,306",미국,미국,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)"
130,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,2023-02-23,"511,513,000",0.0%,"57,452",284,"5,036",영국,영국,와이드 릴리즈(주)
131,더 웨일,2023-03-01,"556,416,366",0.0%,"56,591",203,"4,807",미국,미국,(주)스튜디오디에이치엘
132,애스터로이드 시티,2023-06-28,"557,193,947",0.0%,"56,379",269,"4,045",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
133,바람 따라 만나리 : 김호중의 계절,2023-10-18,"1,259,368,000",0.1%,"56,056",78,"2,768",한국,한국,"씨제이포디플렉스 주식회사,CGV ICECON"
134,해리 포터와 혼혈 왕자,2009-07-15,"646,402,000",0.1%,"55,859",41,"2,849",미국,미국,워너브러더스 코리아(주)
135,다크 나이트,2008-08-06,"578,274,149",0.0%,"55,279",246,"2,927",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
136,라일 라일 크로커다일,2023-01-18,"502,081,439",0.0%,"54,192",384,"5,072",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
137,런닝맨: 리벤져스,2023-08-10,"454,676,800",0.0%,"54,097",221,"3,456",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
138,렌필드,2023-04-19,"488,403,949",0.0%,"53,358",577,"9,702",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
139,마야 3: 숲속 왕국의 위기,2023-08-24,"423,586,000",0.0%,"53,058",208,"3,531",독일,독일,(주)박수엔터테인먼트
140,엔니오: 더 마에스트로,2023-07-05,"491,695,957",0.0%,"52,190",67,"2,504",이탈리아,이탈리아,"(주)영화사 진진,(주)씨네필운"
141,마브카 : 숲의 노래,2023-10-18,"432,049,154",0.0%,"51,120",489,"4,143",우크라이나,"우크라이나,미국",(주)팝엔터테인먼트
142,거울 속 외딴 성,2023-04-12,"488,564,269",0.0%,"50,685",335,"4,775",일본,일본,워터홀컴퍼니(주)
143,애프터썬,2023-02-01,"484,619,238",0.0%,"49,882",64,"3,081",영국,영국,"그린나래미디어(주),(주)영화사 안다미로"
144,탑건: 매버릭,2022-06-22,"470,698,819",0.0%,"49,074",75,"3,391",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
145,스파이 코드명 포춘,2023-08-30,"437,453,701",0.0%,"47,004",477,"6,623",미국,미국,"(주)레드아이스 엔터테인먼트,(주)제이앤씨미디어그룹"
146,더 와일드: 야수들의 전쟁,2023-11-15,"384,063,300",0.0%,"44,540",239,"5,458",한국,한국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오"
147,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,"1,017,054,000",0.1%,"42,384",72,"1,578",한국,한국,씨제이 씨지브이(CJ CGV)(주)
148,도티와 영원의 탑,2023-12-27,"388,161,976",0.0%,"41,696",370,"2,021",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
149,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,"319,879,760",0.0%,"38,823",215,"1,663",영국,영국,와이드 릴리즈(주)
150,오토라는 남자,2023-03-29,"345,305,730",0.0%,"38,645",371,"5,893",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
151,틴에이지 크라켄 루비,2023-07-25,"297,448,950",0.0%,"38,547",203,"3,723",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
152,TAR 타르,2023-02-22,"380,936,984",0.0%,"38,090",197,"3,173",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
153,플레인,2023-03-15,"345,665,658",0.0%,"37,691",358,"5,405",미국,미국,(주)누리픽쳐스
154,크레센도,2023-12-20,"395,095,300",0.0%,"36,911",91,"1,358",미국,미국,오드
155,롱디,2023-05-10,"308,893,500",0.0%,"36,777",262,"4,957",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
156,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,"256,074,430",0.0%,"33,858",261,"2,471",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
157,똑똑똑,2023-03-08,"298,318,620",0.0%,"33,771",472,"6,259",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
158,몬스터 하우스2: 인비져블 피닉스,2023-02-02,"294,228,222",0.0%,"33,671",357,"3,069",러시아,러시아,(주)박수엔터테인먼트
159,아버지의 마음,2023-07-20,"330,119,906",0.0%,"33,407",85,999,한국,한국,"(주)드림팩트엔터테인먼트,파이오니아21"
160,극장판 파워 디지몬 더 비기닝,2023-11-29,"322,378,200",0.0%,"33,280",197,"2,787",일본,일본,에스엠지홀딩스 주식회사
161,너와 나,2023-10-25,"324,601,964",0.0%,"33,244",76,"2,283",한국,한국,"주식회사 필름영,그린나래미디어(주)"
162,네가 떨어뜨린 푸른 하늘,2023-02-08,"308,030,509",0.0%,"32,116",449,"5,370",일본,일본,"메가박스중앙(주),(주)이놀미디어,(주)바이포엠스튜디오"
163,비투비 타임 : 비투게더 더 무비,2023-11-15,"628,174,500",0.0%,"31,412",32,616,한국,한국,(주)케이티알파
164,류이치 사카모토: 오퍼스,2023-12-27,"286,201,031",0.0%,"31,195",251,"1,811",일본,일본,"(주)엣나인필름,메가박스중앙(주)"
165,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,"254,297,030",0.0%,"30,563",78,"1,638",일본,일본,메가박스중앙(주)
166,메리 마이 데드 바디,2023-05-17,"346,701,400",0.0%,"30,333",103,"2,040",대만,대만,"주식회사 원더스튜디오,(주)리안컨텐츠"
167,테일러 스위프트 디 에라스 투어,2023-11-03,"839,042,500",0.1%,"30,232",56,753,미국,미국,씨제이포디플렉스 주식회사
168,에브리씽 에브리웨어 올 앳 원스,2022-10-12,"296,025,979",0.0%,"28,975",52,"1,697",미국,미국,워터홀컴퍼니(주)
169,여귀교- 저주를 부르는 게임,2023-11-15,"252,570,027",0.0%,"27,703",401,"4,218",대만,대만,"메가박스중앙(주),(주)스튜디오 산타클로스엔터테인먼트,(주)블레이드이엔티"
170,어른 김장하,2023-11-15,"230,378,472",0.0%,"27,572",98,"1,604",한국,한국,(주)시네마달
171,괴담만찬,2023-10-18,"220,853,620",0.0%,"27,389",162,"3,697",한국,한국,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부"
172,이니셰린의 밴시,2023-03-15,"274,718,301",0.0%,"27,260",135,"2,708",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
173,파이어하트,2023-06-28,"233,116,800",0.0%,"27,210",187,"2,452",프랑스,프랑스,"(주)누리픽쳐스,(주)블루라벨픽쳐스,TCO(주)더콘텐츠온"
174,마이 샤이니 월드,2023-11-03,"583,161,000",0.0%,"26,403",118,"2,377",한국,한국,메가박스중앙(주)
175,80일간의 세계일주,2023-09-27,"229,296,950",0.0%,"26,391",171,"1,619",프랑스,프랑스,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)"
176,겨울왕국,2014-01-16,"256,761,257",0.0%,"26,164",318,"2,300",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)"
177,사채소년,2023-11-22,"193,789,300",0.0%,"26,148",211,"3,257",한국,한국,영화사빅
178,돌핀보이,2023-01-25,"228,032,600",0.0%,"25,666",177,"2,698",독일,독일,와이드 릴리즈(주)
179,엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,"553,420,000",0.0%,"25,030",87,"2,082",한국,한국,씨제이포디플렉스 주식회사
180,라이스보이 슬립스,2023-04-19,"219,820,622",0.0%,"24,861",250,"2,889",캐나다,캐나다,판씨네마(주)
181,플로라 앤 썬,2023-09-22,"182,027,800",0.0%,"24,613",120,"2,706",미국,미국,씨제이 씨지브이(CJ CGV)(주)
182,천룡팔부: 교봉전,2023-01-25,"211,184,266",0.0%,"24,394",300,"3,441",홍콩,홍콩,(주)팝엔터테인먼트
183,날씨의 아이,2019-10-30,"219,110,181",0.0%,"24,167",88,"1,958",일본,일본,"플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)"
184,3000년의 기다림,2023-01-04,"224,395,015",0.0%,"23,963",176,"2,513",호주,호주,(주)디스테이션
185,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,"212,616,600",0.0%,"23,561",115,"1,312",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
186,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,"207,161,172",0.0%,"23,331",338,"1,898",기타,기타,메가박스중앙(주)
